93  94	42
94	34	43
95	35	44
96	36	45
97	37	46
98	38	47
99	39	48
100	40	49
101	41	50
102	42	51
103	43	52
104	44	53
105	45	54
106	46	55
107	47	56
108	48	57
109	49	58
110	50	59
111	51	60
112	52	61
113	53	62
114	54	63
115	55	64
116	56	65
117	57	66
118	58	67
119	59	68
120	60	69
121	61	70
122	62	71
123	63	72
124	64	73
125	65	74
126	66	75
127	67	76
128	68	77
129	69	78
130	70	79
131	71	80
132	72	81
133	73	82
134	74	83
135	75	84
136	76	85
137	77	86
138	78	87
139	79	88
140	80	89
141	81	90
142	82	91
143	83	92
144	84	93
145	85	94
146	86	95
147	87	96
148	88	97
149	89	98
150	90	99
151	91	100
152	92	101
153	93	102
154	94	103
155	95	104
156	96	105
157	97	106
158	98	107
159	99	108
160	100	109
161	101	110
162	102	111
163	103	112
164	104	113
165	105	114
166	106	115
167	107	116
168	108	117
169	109	118
170	110	119
171	111	120
172	112	121
173	113	122
174	114	123
175	115	124
176	116	125
177	117	126
178	118	127
179	119	128
180	120	129
181	121	130
182	122	131
183	123	132
184	124	133
185	125	134
186	126	135
187	127	136
188	128	137
189	129	138
190	130	139
191	131	140
192	132	141
193	133	142
194	134	143
195	135	144
196	136	145
197	137	146
198	138	147
199	139	148
200	140	149
201	141	150
202	142	151
203	143	152
204	144	153
205	145	154
206	146	155
207	147	156
208	148	157
209	149	158
210	150	159
211	151	160
212	152	161
213	153	162
214	154	163
215	155	164
216	156	165
217	157	166
218	158	167
219	159	168
220	160	169
221	161	170
222	162	171
223	163	172
224	164	173
225	165	174
226	166	175
227	167	176
228	168	177
229	169	178
230	170	179
231	171	180
232	172	181
233	173	182
234	174	183
235	175	184
236	176	185
237	177	186
238	178	187
239	179	188
240	180	189
241	181	190
242	182	191
243	183	192
244	184	193
245	185	194
246	186	195
247	187	196
248	188	197
249	189	198
250	190	199
251	191	200
252	192	201
253	193	202
254	194	203
255	195	204
256	196	205
257	197	206
258	198	207
259	199	208
260	200	209
261	201	210
262	202	211
263	203	212
264	204	213
265	205	214
266	206	215
267	207	216
268	208	217
269	209	218
270	210	219
271	211	220
272	212	221
273	213	222
274	214	223
275	215	224
276	216	225
277	217	226
278	218	227
279	219	228
280	220	229
281	221	230
282	222	231
283	223	232
284	224	233
285	225	234
286	226	235
287	227	236
288	228	237
289	229	238
290	230	239
291	231	240
292	232	241
293	233	242
294	234	243
295	235	244
296	236	245
297	237	246
298	238	247
299	239	248
300	240	249
301	241	250
302	242	251
303	243	252
304	244	253
305	245	254
306	246	255
307	247	256
308	248	257
309	249	258
310	250	259
311	251	260
312	252	261
313	253	262
314	254	263
315	255	264
316	256	265
317	257	266
318	258	267
319	259	268
320	260	269
321	261	270
322	262	271
323	263	272
324	264	273
325	265	274
326	266	275
327	267	276
328	268	277
329	269	278
330	270	279
331	271	280
332	272	281
333	273	282
334	274	283
335	275	284
336	276	285
337	277	286
338	278	287
339	279	288
340	280	289
341	281	290
342	282	291
343	283	292
344	284	293
345	285	294
346	286	295
347	287	296
348	288	297
349	289	298
350	290	299
351	291	300
352	292	301
353	293	302
354	294	303
355	295	304
356	296	305
357	297	306
358	298	307
359	299	308
360	300	309
361	301	310
362	302	311
363	303	312
364	304	313
365	305	314
366	306	315
367	307	316
368	308	317
369	309	318
370	310	319
371	311	320
372	312	321
373	313	322
374	314	323
375	315	324
376	316	325
377	317	326
378	318	327
379	319	328
380	320	329
381	321	330
382	322	331
383	323	332
384	324	333
385	325	334
386	326	335
387	327	336
388	328	337
389	329	338
390	330	339
391	331	340
392	332	341
393	333	342
394	334	343
395	335	344
78	45	10
237	70	15
178	17	82
84	162	63
156	152	144
267	176	88
117	76	38
72	40	142
150	81	94
20	30	116
154	22	160
129	45	60
98	83	118
12	32	66
144	88	92
51	164	59
35	57	60
99	16	74
112	84	34
216	34	100
11	20	53
158	40	93
150	200	34
188	136	70
264	84	81
72	74	78
44	184	44
57	134	146
36	34	196
33	20	32
81	50	35
106	64	112
40	76	60
294	46	66
118	15	20
40	108	53
55	19	82
183	80	95
70	30	44
60	87	130
285	90	28
45	98	24
78	40	44
279	36	55
95	69	56
178	79	94
243	52	89
192	37	34
146	60	84
30	38	60
81	90	98
162	124	91
129	24	120
207	81	33
94	23	83
23	68	49
142	130	21
164	47	176
38	51	93
159	160	36
110	48	79
129	34	134
159	27	90
11	85	198
189	85	36
52	79	190
182	188	53
28	158	18
80	72	78
204	172	10
99	142	29
174	91	144
85	10	51
122	94	54
59	70	34
67	58	142
189	90	50
297	68	96
93	160	70
78	108	98
93	82	154
63	130	64
62	60	94
168	52	37
91	17	13
12	190	39
27	58	63
135	57	196
222	20	50
75	144	99
84	76	110
62	27	100
49	68	42
124	144	62
74	46	174
61	64	92
195	36	102
42	122	76
27	106	38
165	100	38
84	75	152
92	52	70
42	58	174
34	48	150
96	67	24
30	24	32
141	178	40
300	60	24
81	168	88
98	120	14
156	65	152
156	138	51
40	30	38
45	70	37
178	90	29
267	55	74
28	40	33
102	89	50
261	10	194
56	98	36
198	10	11
288	30	20
72	192	94
85	96	31
120	83	64
94	81	52
92	158	138
102	200	98
31	68	24
196	74	110
78	114	98
201	188	65
58	140	164
168	126	142
72	90	120
78	72	196
68	13	38
56	20	49
87	174	54
88	76	37
32	52	81
27	140	91
87	64	36
20	58	38
29	200	126
38	116	100
81	172	18
23	28	40
95	24	162
82	174	168
29	61	44
112	84	82
90	24	70
13	116	90
86	64	92
159	98	52
52	19	76
170	29	18
67	70	194
147	37	12
62	82	27
99	50	24
117	13	160
76	75	37
219	30	138
78	48	96
162	58	20
285	64	200
93	83	67
28	78	142
124	136	148
120	124	76
36	166	76
285	110	144
172	58	38
96	62	146
136	184	61
45	172	170
95	52	178
102	19	90
39	69	97
234	96	154
180	66	22
192	74	172
142	16	68
174	70	106
91	184	69
45	170	59
174	53	60
183	43	43
261	64	182
104	60	112
282	87	36
18	28	65
50	20	194
81	140	46
36	98	24
60	90	29
47	144	19
156	46	86
186	52	60
75	68	70
192	154	162
58	26	48
176	69	162
72	106	46
91	32	22
207	188	13
186	21	200
164	194	75
117	74	71
72	108	106
132	86	96
138	76	118
35	87	90
78	78	32
85	16	56
166	41	10
60	76	146
83	102	11
114	52	93
138	61	46
122	19	172
267	150	33
11	95	39
148	54	83
135	17	89
110	124	94
76	152	56
294	126	53
60	71	43
65	22	180
24	70	70
189	84	28
140	42	88
102	66	83
47	134	20
37	95	124
28	92	97
58	10	158
126	130	13
225	64	99
120	40	37
20	64	70
70	180	68
66	120	63
97	21	83
138	54	176
28	27	122
96	176	130
186	106	68
33	45	108
27	92	19
39	74	28
117	63	52
144	43	87
144	89	95
72	62	67
30	184	58
98	64	38
54	108	12
150	88	88
96	106	33
15	46	46
110	73	200
144	180	67
85	64	152
114	146	98
100	60	56
170	64	75
57	88	146
134	85	55
43	182	62
45	94	11
39	38	13
68	150	22
36	68	15
43	23	50
124	30	152
96	65	19
108	51	130
162	198	200
180	10	72
150	38	118
86	100	28
186	75	10
78	42	78
176	108	93
68	29	74
108	71	158
89	45	112
207	14	144
102	198	70
150	63	96
168	33	41
87	166	49
39	40	26
279	68	120
82	75	35
156	104	136
